Schlusskurse an den Handelstagen der letzten 12 Monate (XETRA);;;;;
;;;;;
;Daimler;Deutsche Bank;Fresenius Medical Care;RWE;Solarworld
19.04.2010;36,305;49,65;41,625;66,64;11,105
20.04.2010;39;50,73;42,01;67,17;11,35
21.04.2010;38,45;50,35;41,95;66,49;11,5
22.04.2010;37,85;49,11;41,855;66,14;11,435
23.04.2010;38,87;48,94;42,04;62,64;11,5
26.04.2010;39,47;50,37;41,975;62,24;11,5
27.04.2010;37,93;47,86;41,61;61,04;11,13
28.04.2010;37,765;47,54;41,2;60,91;10,63
29.04.2010;38,795;48,63;41;61,01;11,195
30.04.2010;38,815;47,56;40,72;61,86;10,885
03.05.2010;38,615;47,7;41,09;62,6;10,805
04.05.2010;37,37;45,94;40,935;61,89;10,205
05.05.2010;37,02;45,299;39,75;61,29;10,05
06.05.2010;36,93;43,384;40,06;60,24;9,796
07.05.2010;35,85;41,682;38,86;58,17;9,55
10.05.2010;38,01;47,042;38,95;59,58;9,797
11.05.2010;38,655;46,478;38,53;59,75;9,08
12.05.2010;39,79;46,997;38,86;61,25;9,631
13.05.2010;41,37;46,287;40,04;61,21;9,742
14.05.2010;40,575;44,367;39,72;59,58;9,29
17.05.2010;41,085;44,708;39,63;59,37;9,091
18.05.2010;41,915;45,359;39,925;60,25;9,063
19.05.2010;40,2;44,048;39,625;59,2;8,68
20.05.2010;38,4;43,67;39,51;58,52;8,143
21.05.2010;38,83;43,675;38,205;57,6;8,329
24.05.2010;38,485;43,256;38,8;57,31;8,153
25.05.2010;37,19;42,401;38,89;56,54;7,951
26.05.2010;38,24;42,96;39,33;56,8;8,386
27.05.2010;39,935;44,931;40,13;58,35;8,499
28.05.2010;40,3;44,116;40,655;58,76;8,588
31.05.2010;41;44,043;41,115;58,34;8,605
01.06.2010;40,99;43,807;41,5;58,62;8,5
02.06.2010;40,775;43,557;41,755;58,57;8,42
03.06.2010;41,26;44,071;42,94;59,06;8,559
04.06.2010;40,38;42,801;42,96;58,27;8,404
07.06.2010;40,08;42,228;43,025;57,96;8,27
08.06.2010;40,24;42,037;43,12;56,26;8,195
09.06.2010;41,94;42,938;44,2;56,45;8,396
10.06.2010;43,255;43,206;44,56;56,6;8,908
11.06.2010;42,735;43,698;44,065;56,19;9,879
14.06.2010;42,52;44,185;43,63;56,89;10,06
15.06.2010;42,33;45,086;44,32;57,29;9,946
16.06.2010;41,14;45,436;44,39;57,22;10,095
17.06.2010;42,315;45,814;44,6;56,9;9,955
18.06.2010;43,12;45,895;44,165;57,1;9,907
21.06.2010;44,5;45,814;43,965;57,8;10,75
22.06.2010;44,47;45,227;44,15;57,15;10,345
23.06.2010;43,95;44,394;43,58;56,36;10,165
24.06.2010;43,425;43,393;43,885;55,44;10,025
25.06.2010;42,015;42,865;44,1;55,15;10,02
28.06.2010;43,24;43,689;44,71;55,08;9,795
29.06.2010;41,28;41,864;44,285;53,32;9,344
30.06.2010;41,92;42,501;44,325;53,72;9,16
01.07.2010;40,42;40,954;43,85;53,25;9,284
02.07.2010;40,28;41,004;42,95;53,35;9,82
05.07.2010;39,95;40,84;42,425;53,35;9,81
06.07.2010;41,21;41,636;42,84;54,38;10,44
07.07.2010;41,945;43,197;42,53;54,8;10,735
08.07.2010;41,58;44,608;42,28;55,08;11,26
09.07.2010;41,635;44,822;42,225;54,92;11,25
12.07.2010;41,565;44,594;42,615;54,95;11,225
13.07.2010;43,805;45,85;42,7;55,39;11,14
14.07.2010;43,545;45,905;43,06;55,06;11,195
15.07.2010;43,275;44,744;42,72;54,69;11,35
16.07.2010;43,05;43,379;42,315;52,33;11,35
19.07.2010;42,63;42,778;42,315;52,37;11,16
20.07.2010;41,42;43,083;41,56;52,4;11
21.07.2010;40,955;43,434;41,3;52,64;11,11
22.07.2010;42,26;45,222;41,41;53,85;11,49
23.07.2010;42,485;45,277;41,125;53,5;11,67
26.07.2010;43,155;45,85;41,15;53,67;11,735
27.07.2010;41,34;47,907;43,15;54,51;11,745
28.07.2010;41,465;48,462;43,125;54,66;11,485
29.07.2010;41,435;48,553;42,2;54,52;10,75
30.07.2010;41,375;48,78;42,105;54,19;10,415
02.08.2010;41,4;50,146;42,12;55,75;10,645
03.08.2010;42;50,919;42,42;55,78;10,74
04.08.2010;41,68;50,828;43,275;56,17;10,8
05.08.2010;42,125;50,983;42,96;55,79;10,535
06.08.2010;40,965;50,601;43;55,26;10,39
09.08.2010;41,97;51,101;43,085;55,99;10,495
10.08.2010;41,225;50,309;42,91;55,5;10,15
11.08.2010;40,19;48,826;42,78;54,19;9,671
12.08.2010;39,07;48,243;43,395;53,63;9,92
13.08.2010;39,145;48,143;43,74;53,22;9,82
16.08.2010;39,955;47,352;44,33;52,8;9,602
17.08.2010;41,05;48,289;44,775;54,08;9,819
18.08.2010;40,625;47,825;44,885;54,3;9,71
19.08.2010;39,88;46,587;44,57;53,7;9,518
20.08.2010;39,23;46,269;44,415;53,38;9,359
23.08.2010;39,15;46,651;44,64;53,43;9,354
24.08.2010;38,66;45,905;44,8;52,91;9,055
25.08.2010;38,295;45,29;45,405;52,26;8,89
26.08.2010;38,085;45,513;44,885;52,01;9,037
27.08.2010;38,405;45,632;44,74;52,41;9,019
